address	expected_name	actual_name	status
0x0055de81	CFastVB__Helper_0055de81	CFastVB__Helper_0055de81	OK
0x005657d0	ControlsUI__Helper_005657d0	ControlsUI__Helper_005657d0	OK
0x00567505	CTexture__Helper_00567505	CTexture__Helper_00567505	OK
0x00567ab1	CTexture__Helper_00567ab1	CTexture__Helper_00567ab1	OK
0x005689b8	CTexture__Helper_005689b8	CTexture__Helper_005689b8	OK
0x0056947e	CTexture__Helper_0056947e	CTexture__Helper_0056947e	OK
0x005695af	CTexture__Helper_005695af	CTexture__Helper_005695af	OK
0x00569dfe	CFastVB__Helper_00569dfe	CFastVB__Helper_00569dfe	OK
0x0056f280	CFastVB__Helper_0056f280	CFastVB__Helper_0056f280	OK
0x0059877e	CTexture__Helper_0059877e	CTexture__Helper_0059877e	OK
0x0059877f	CTexture__Helper_0059877f	CTexture__Helper_0059877f	OK
0x00599bd7	CFastVB__Helper_00599bd7	CFastVB__Helper_00599bd7	OK
0x00599c49	CFastVB__Helper_00599c49	CFastVB__Helper_00599c49	OK
