address	name	calls	clues	lines
0x00406040	CDXCompass__Helper_00406040	CDXCompass__Helper_00406040		11
0x0040c630	CDXCompass__Helper_0040c630	CDXCompass__Helper_0040c630		11
0x0044a0c0	CDXMeshVB__Helper_0044a0c0	CDXMeshVB__Helper_0044a0c0		13
0x0044d390	CFEPSaveGame__Helper_0044d390	CFEPLanguageTest__Helper_00465a20, CFEPSaveGame__Helper_0044d390, CPlatform__Font		92
0x0046a2a0	CFEPSaveGame__Helper_0046a2a0	CFEPSaveGame__Helper_0046a2a0, CFEPSaveGame__Helper_0046b1e0, CRT__WStrCpy, CText__GetStringById, Localization__GetStringById, PlatformInput__ConsumeKeyOnce, Text__AsciiToWideScratch		571
0x0046b1e0	CFEPSaveGame__Helper_0046b1e0	CFEPSaveGame__Helper_0046b1e0, Text__AsciiToWideScratch		316
0x00480a30	CCollisionSeekingRound__Helper_00480a30	CCollisionSeekingRound__Helper_00480a30, CCollisionSeekingRound__Helper_00480e10, CCollisionSeekingRound__Helper_00491d80, CCollisionSeekingRound__Helper_00491d90, CCollisionSeekingRound__Helper_004f3d10, CConsole__Printf, CHLCollisionDetector__DispatchCollisionEventForPair, CMapWhoEntry__GetOwner, CMapWho__IsEntryInBounds, CMapWho__WorldToSector		106
0x00480e10	CCollisionSeekingRound__Helper_00480e10	CCollisionSeekingRound__Helper_00480e10, CCollisionSeekingRound__Helper_00491d80, CCollisionSeekingRound__Helper_00491d90, CCollisionSeekingRound__Helper_004f3d10, CConsole__Printf, CHLCollisionDetector__DispatchCollisionEventForPair, CMapWhoEntry__GetOwner		41
0x004821b0	CDXCompass__Helper_004821b0	CDXCompass__Helper_004821b0, CDXEngine__ApplyPendingRenderState	RenderState_Set	16
0x004821e0	CDXCompass__Helper_004821e0	CDXCompass__Helper_004821e0, CDXEngine__ApplyPendingRenderState	RenderState_Set	16
0x0048de90	CDXLandscape__Helper_0048de90	CDXLandscape__Helper_0048de90		12
0x0048dea0	CDXLandscape__Helper_0048dea0	CDXLandscape__Helper_0048dea0, CHud__Helper_004f27e0		17
0x00491d80	CCollisionSeekingRound__Helper_00491d80	CCollisionSeekingRound__Helper_00491d80		12
0x00491d90	CCollisionSeekingRound__Helper_00491d90	CCollisionSeekingRound__Helper_00491d90		14
0x00495ed0	CMCMech__Helper_00495ed0	CMCMech__Helper_00495ed0		43
0x0049bd50	CMCMech__Helper_0049bd50	CMCMech__Helper_0049bd50, CMCMech__UpdateBone		58
0x004aa680	CMCMech__Helper_004aa680	CMCMech__Helper_004aa680		25
0x004aa820	CMCMech__Helper_004aa820	CMCMech__Helper_004aa820	stricmp	32
0x004b0fb0	CMCMech__Helper_004b0fb0	CMCBuggy__Helper_0040d320, CMCMech__Helper_004b0fb0, CMeshPart__InterpolateSegmentTransform, CSquadNormal__TransformVec3ByOrientationMatrix, Mat34__SetRows, Vec3__Add, Vec3__ScaleToOut, Vec3__SetXYZ, Vec3__SubtractToOut		367
0x004c10c0	CPDSimpleSprite__Helper_004c10c0	CPDSimpleSprite__Helper_004c10c0, CPDSimpleSprite__Helper_0055e3ea		153
0x004c5c50	CPDSimpleSprite__Helper_004c5c50	CPDSimpleSprite__Helper_004c5c50		66
0x004c5d50	CPDSimpleSprite__Helper_004c5d50	CMCBuggy__DivideVector, CMCBuggy__Helper_0040d320, CMCTentacle__Helper_0041ad10, CPDSimpleSprite__EvaluateCurveDrivenScale, CPDSimpleSprite__Helper_004c10c0, CPDSimpleSprite__Helper_004c5c50, CPDSimpleSprite__Helper_004c5d50, CPDSimpleSprite__Helper_004c78b0, CPDSimpleSprite__Helper_004c7db0, CPDSimpleSprite__ReciprocalVec3Magnitude, CRocket__NormalizeVec3InPlace, CSquadNormal__TransformVec3ByOrientationMatrix, CVBufTexture__GetVertexPtrAt, DXParticleTexture__GetIndexBuffer, Mat34__SetRows, SQRT__Wrapper_004026b0		849
0x004c78b0	CPDSimpleSprite__Helper_004c78b0	CPDSimpleSprite__Helper_004c78b0		14
0x004c7db0	CPDSimpleSprite__Helper_004c7db0	CPDSimpleSprite__Helper_004c7db0		101
0x004d8a70	CCollisionSeekingRound__Helper_004d8a70	CCollisionSeekingRound__Destructor, CCollisionSeekingRound__Helper_004d8a70, CMonitor__Shutdown		23
0x004f3d10	CCollisionSeekingRound__Helper_004f3d10	CCollisionSeekingRound__Helper_004f3d10		19
0x004f7c70	CD3DApplication__Helper_004f7c70	CD3DApplication__Helper_004f7c70		42
0x004f99f0	CDXCompass__Helper_004f99f0	CDXCompass__Helper_004f99f0, CDestructableSegmentsController__GetCurrentSubtreeHealthIfAnyActive		18
0x00512cc0	CDXLandscape__Helper_00512cc0	CDXLandscape__Helper_00512cc0		45
0x00527d20	CDXLandscape__Helper_00527d20	CConsole__Printf, CDXLandscape__Helper_00527d20, CEngine__DeviceCall118_WithZeroOut		40
0x005286e0	CD3DApplication__Helper_005286e0	CConsole__Printf, CD3DApplication__Helper_005286e0, CD3DApplication__Helper_0055fc5d, CLIParams__Helper_0055e14f, CMCBuggy__Helper_0056e170, s_Device__0064bdc4,, s_Setting_tweak__s_to__f_0064bd40);, s_Vendor__0064bd80,, s_Version__0064bd9c,	stricmp	201
0x0052cd20	CD3DApplication__Helper_0052cd20	CD3DApplication__Helper_0052cd20		148
0x0055e3ea	CPDSimpleSprite__Helper_0055e3ea	CPDSimpleSprite__Helper_0055e3ea		14
0x0055e598	ControlsUI__Helper_0055e598	CRT__FlsBuf, ControlsUI__Helper_0055e598, ControlsUI__Helper_00565083		37
0x0055e624	ControlsUI__Helper_0055e624	ControlsUI__Helper_0055e624		24
0x0055fc5d	CD3DApplication__Helper_0055fc5d	CD3DApplication__Helper_0055fc5d, CRT__LockRouteByAddress, CRT__ReadByteWithBufferRefill, CRT__UnlockRouteByAddress		47
0x00562013	ControlsUI__Helper_00562013	ControlsUI__Helper_00562013		12
0x00565083	ControlsUI__Helper_00565083	CRT__MapWideCharsWithCallbackStopOnError, CRT__MultiByteToWideChar_ThreadSafe, CRT__ReadIntAndAdvance8, ControlsUI__Helper_00562013, ControlsUI__Helper_00565083, ControlsUI__Helper_005657d0, ControlsUI__Helper_005657f0, PTR_ControlsUI__Helper_00569cb8_00653658), PTR_ControlsUI__Helper_00569cb8_0065365c), PTR_ControlsUI__Helper_00569cb8_00653664)		445
0x005657d0	ControlsUI__Helper_005657d0	CRT__WriteWideCharToStreamWithConversion, ControlsUI__Helper_005657d0		19
0x005657f0	ControlsUI__Helper_005657f0	ControlsUI__Helper_005657d0, ControlsUI__Helper_005657f0		18
0x00569cb8	ControlsUI__Helper_00569cb8	ControlsUI__Helper_00569cb8		14
0x0056eb50	CDXMeshVB__Helper_0056eb50	CDXMeshVB__Helper_0056eb50		12
0x0056eb60	CDXMeshVB__Helper_0056eb60	CDXMeshVB__Helper_0056eb60		12
0x0056eb70	CDXMeshVB__Helper_0056eb70	CDXMeshVB__Helper_0056eb70		12
0x0056eb80	CDXMeshVB__Helper_0056eb80	CDXMeshVB__Helper_0056eb80		12
0x0056eb90	CDXMeshVB__Helper_0056eb90	CDXMeshVB__Helper_0056eb90, CFastVB__BuildStripBatchesFromIndexBuffer, CFastVB__CopyWordRangeToBufferAndAdvanceEnd, CFastVB__CountWordElements, CFastVB__EmitTriangleStripIndexBuffer, CFastVB__HasDuplicateTriangleIndices32, CFastVB__InitWordSpanHeader, CFastVB__InsertWordSpanFilled, CFastVB__ReleaseBufferAndResetTriplet_0056f520, OID__AllocObject_DefaultTag_00662b2c, OID__FreeObject_Callback		325
0x005d04ec	CFEPSaveGame__Helper_005d04ec	CFEPSaveGame__Helper_005d04ec, CFEPSaveGame__Helper_005d0a2a, CRT__LockByIndex, CRT__UnlockByIndex		68
0x005d0a2a	CFEPSaveGame__Helper_005d0a2a	CFEPSaveGame__Helper_005d0a2a, CRT__GetCharTypeMaskCompat, CRT__LCMapStringW_AnsiCompat		40
