address	old_name	inferred_owner	new_name	xref_count	top_counts
0x00465f00	CMeshCollisionVolume__Unk_00465f00	CVBufTexture	CVBufTexture__Helper_00465f00	6	CVBufTexture:5;CDXFont:1
0x00569814	CMeshCollisionVolume__Unk_00569814	CDXTexture	CDXTexture__Helper_00569814	2	CDXTexture:2
0x0056982f	CMeshCollisionVolume__Unk_0056982f	CDXTexture	CDXTexture__Helper_0056982f	3	CDXTexture:3
0x00575d51	CMeshCollisionVolume__Unk_00575d51	CFastVB	CFastVB__Helper_00575d51	2	CFastVB:2
0x00575d75	CMeshCollisionVolume__Unk_00575d68	CFastVB	CFastVB__Helper_00575d75	2	CFastVB:2
0x00599ffd	CMeshCollisionVolume__Unk_00599ffd	CFastVB	CFastVB__Helper_00599ffd	2	CFastVB:2
0x0059d47a	CMeshCollisionVolume__Unk_0059d47a	CDXTexture	CDXTexture__Helper_0059d47a	2	CDXTexture:2
0x0059d614	CMeshCollisionVolume__Unk_0059d614	CDXTexture	CDXTexture__Helper_0059d614	14	CDXTexture:8;CTexture:6
0x005a4d98	CMeshCollisionVolume__Unk_005a4d98	CFastVB	CFastVB__Helper_005a4d98	7	CFastVB:7
0x005b3ec0	CMeshCollisionVolume__Unk_005b3ec0	CDXTexture	CDXTexture__Helper_005b3ec0	5	CDXTexture:5
