address	expected_name	actual_name	status
0x0055e598	ControlsUI__Helper_0055e598	ControlsUI__Helper_0055e598	OK
0x0055e6e2	CFastVB__Helper_0055e6e2	CFastVB__Helper_0055e6e2	OK
0x0055ecb1	CTexture__Helper_0055ecb1	CTexture__Helper_0055ecb1	OK
0x0055ed10	CTexture__Helper_0055ed10	CTexture__Helper_0055ed10	OK
0x0055f2a7	CDropship__Helper_0055f2a7	CDropship__Helper_0055f2a7	OK
0x0055f380	CStaticShadows__Helper_0055f380	CStaticShadows__Helper_0055f380	OK
0x0055f44b	CTokenArchive__Helper_0055f44b	CTokenArchive__Helper_0055f44b	OK
0x0055f807	CEngine__Helper_0055f807	CEngine__Helper_0055f807	OK
0x0055f8a1	CEngine__Helper_0055f8a1	CEngine__Helper_0055f8a1	OK
0x0055fc5d	CD3DApplication__Helper_0055fc5d	CD3DApplication__Helper_0055fc5d	OK
0x0055feca	CDXEngine__Helper_0055feca	CDXEngine__Helper_0055feca	OK
0x005621b9	CTexture__Helper_005621b9	CTexture__Helper_005621b9	OK
0x00562307	CTexture__Helper_00562307	CTexture__Helper_00562307	OK
0x0056244b	CTexture__Helper_0056244b	CTexture__Helper_0056244b	OK
0x0056249f	CTexture__Helper_0056249f	CTexture__Helper_0056249f	OK
0x00562cef	CFastVB__Helper_00562cef	CFastVB__Helper_00562cef	OK
0x005638d2	CFastVB__Helper_005638d2	CFastVB__Helper_005638d2	OK
0x00564c09	CFastVB__Helper_00564c09	CFastVB__Helper_00564c09	OK
0x00564f4c	CTexture__Helper_00564f4c	CTexture__Helper_00564f4c	OK
0x00567338	CTexture__Helper_00567338	CTexture__Helper_00567338	OK
0x0056745c	CTexture__Helper_0056745c	CTexture__Helper_0056745c	OK
0x00567f92	CTexture__Helper_00567f92	CTexture__Helper_00567f92	OK
0x00569ba8	CFastVB__Helper_00569ba8	CFastVB__Helper_00569ba8	OK
0x0056a936	CTexture__Helper_0056a936	CTexture__Helper_0056a936	OK
0x0056ab1f	CTexture__Helper_0056ab1f	CTexture__Helper_0056ab1f	OK
0x0056c060	CTexture__Helper_0056c060	CTexture__Helper_0056c060	OK
0x0056c0a0	CTexture__Helper_0056c0a0	CTexture__Helper_0056c0a0	OK
0x0056c0da	CTexture__Helper_0056c0da	CTexture__Helper_0056c0da	OK
0x0056d21c	CTexture__Helper_0056d21c	CTexture__Helper_0056d21c	OK
0x0056defa	CTexture__Helper_0056defa	CTexture__Helper_0056defa	OK
0x0056e271	CTexture__Helper_0056e271	CTexture__Helper_0056e271	OK
0x0056f2a0	CFastVB__Helper_0056f2a0	CFastVB__Helper_0056f2a0	OK
0x0056ff40	CTexture__Helper_0056ff40	CTexture__Helper_0056ff40	OK
0x005708a0	CTexture__Helper_005708a0	CTexture__Helper_005708a0	OK
0x00570be0	CTexture__Helper_00570be0	CTexture__Helper_00570be0	OK
0x00570cb0	CTexture__Helper_00570cb0	CTexture__Helper_00570cb0	OK
0x00570dd0	CTexture__Helper_00570dd0	CTexture__Helper_00570dd0	OK
