address	old_name	expected_new_name	actual_name	status
0x00402000	CUnit__Unk_00402000	CUnitAI__Helper_00402000	CUnitAI__Helper_00402000	OK
0x004dab50	CUnit__Unk_004dab50	CRound__Helper_004dab50	CRound__Helper_004dab50	OK
0x004eba30	CUnit__Unk_004eba30	CEngine__Helper_004eba30	CEngine__Helper_004eba30	OK
0x004f27e0	CUnit__Unk_004f27e0	CHud__Helper_004f27e0	CHud__Helper_004f27e0	OK
0x004f4560	CUnit__Unk_004f4560	CGillMHead__Helper_004f4560	CGillMHead__Helper_004f4560	OK
0x004f78c0	CUnit__Unk_004f78c0	CDXBattleLine__Helper_004f78c0	CDXBattleLine__Helper_004f78c0	OK
0x004f7c70	CUnit__Unk_004f7c70	CD3DApplication__Helper_004f7c70	CD3DApplication__Helper_004f7c70	OK
0x004f8140	CUnit__Unk_004f8140	CActor__Helper_004f8140	CActor__Helper_004f8140	OK
0x004f99f0	CUnit__Unk_004f99f0	CDXCompass__Helper_004f99f0	CDXCompass__Helper_004f99f0	OK
0x004fb650	CUnit__Unk_004fb650	CWarspite__Helper_004fb650	CWarspite__Helper_004fb650	OK
0x004fb840	CUnit__Unk_004fb840	CSquadNormal__Helper_004fb840	CSquadNormal__Helper_004fb840	OK
0x004fcec0	CUnit__Unk_004fcec0	CUnitAI__Helper_004fcec0	CUnitAI__Helper_004fcec0	OK
0x004fd3d0	CUnit__Unk_004fd3d0	CBattleEngine__Helper_004fd3d0	CBattleEngine__Helper_004fd3d0	OK
0x004fd760	CUnit__Unk_004fd760	CVBufTexture__Helper_004fd760	CVBufTexture__Helper_004fd760	OK
0x004fdeb0	CUnit__Unk_004fdeb0	CUnitAI__Helper_004fdeb0	CUnitAI__Helper_004fdeb0	OK
