address	expected_name	actual_name	status
0x0056374b	CFastVB__Helper_0056374b	CFastVB__Helper_0056374b	OK
0x005657f0	ControlsUI__Helper_005657f0	ControlsUI__Helper_005657f0	OK
0x0056c336	CTexture__Helper_0056c336	CTexture__Helper_0056c336	OK
0x0056c590	CTexture__Helper_0056c590	CTexture__Helper_0056c590	OK
0x0059aec0	CTexture__Helper_0059aec0	CTexture__Helper_0059aec0	OK
0x005ac930	CTexture__Helper_005ac930	CTexture__Helper_005ac930	OK
0x005ae810	CTexture__Helper_005ae810	CTexture__Helper_005ae810	OK
0x005af570	CTexture__Helper_005af570	CTexture__Helper_005af570	OK
0x005af860	CTexture__Helper_005af860	CTexture__Helper_005af860	OK
0x005afbd0	CTexture__Helper_005afbd0	CTexture__Helper_005afbd0	OK
