address	name	signature
0x00445010	CMCBuggy__Helper_00445010	double __thiscall CMCBuggy__Helper_00445010(void * this, int param_1, int param_2)
0x00445460	CDiveBomberGuide__Helper_00445460	void __fastcall CDiveBomberGuide__Helper_00445460(void * param_1)
0x00449560	CMine__Helper_00449560	int CMine__Helper_00449560(void)
0x00449ef0	CFrontEnd__Helper_00449ef0	void __stdcall CFrontEnd__Helper_00449ef0(void * param_1)
0x0044a0c0	CDXMeshVB__Helper_0044a0c0	double CDXMeshVB__Helper_0044a0c0(void)
0x0044a110	CCutscene__Helper_0044a110	void __stdcall CCutscene__Helper_0044a110(int param_1, int param_2)
0x0044a1f0	CResourceAccumulator__Helper_0044a1f0	void __thiscall CResourceAccumulator__Helper_0044a1f0(void * this, int param_1, int param_2)
0x0044a2a0	CResourceAccumulator__Helper_0044a2a0	void __stdcall CResourceAccumulator__Helper_0044a2a0(int param_1)
0x0044a2c0	CResourceAccumulator__Helper_0044a2c0	void __fastcall CResourceAccumulator__Helper_0044a2c0(int param_1, void * param_2)
0x0044a6e0	CResourceAccumulator__Helper_0044a6e0	void __stdcall CResourceAccumulator__Helper_0044a6e0(void * param_1)
0x0044a850	OID__Helper_0044a850	void __thiscall OID__Helper_0044a850(void * this, int param_1, void * param_2)
0x0044a930	OID__Helper_0044a930	void __thiscall OID__Helper_0044a930(void * this, int param_1, void * param_2)
0x0044ae20	CPauseMenu__Helper_0044ae20	int __thiscall CPauseMenu__Helper_0044ae20(void * this, void * param_1, int param_2, void * param_3)
0x0044c1c0	CMesh__Helper_0044c1c0	void __thiscall CMesh__Helper_0044c1c0(void * this, void * param_1, int param_2)
0x0044c210	CMesh__Helper_0044c210	void __thiscall CMesh__Helper_0044c210(void * this, void * param_1, int param_2)
0x0044c440	CFearGrid__Helper_0044c440	void __fastcall CFearGrid__Helper_0044c440(void * param_1)
0x0044c720	CSquadNormal__Helper_0044c720	int __thiscall CSquadNormal__Helper_0044c720(void * this, int param_1, int param_2)
0x0044c780	OID__Helper_0044c780	int __thiscall OID__Helper_0044c780(void * this, int param_1, float param_2, float param_3, float param_4)
0x0044c810	CSquadNormal__Helper_0044c810	void __thiscall CSquadNormal__Helper_0044c810(void * this, int param_1, void * param_2)
0x0044d390	CFEPSaveGame__Helper_0044d390	int CFEPSaveGame__Helper_0044d390(void)
0x0044d560	CFrontEnd__Helper_0044d560	void __fastcall CFrontEnd__Helper_0044d560(int param_1)
0x0044d6f0	CFrontEnd__Helper_0044d6f0	void __fastcall CFrontEnd__Helper_0044d6f0(void * param_1)
0x0044dd60	CFrontEnd__Helper_0044dd60	void __thiscall CFrontEnd__Helper_0044dd60(void * this, int param_1, int param_2)
0x0044eab0	CFEPMultiplayerStart__Helper_0044eab0	int __cdecl CFEPMultiplayerStart__Helper_0044eab0(int param_1)
0x0044eb30	CFEPMultiplayerStart__Helper_0044eb30	void __cdecl CFEPMultiplayerStart__Helper_0044eb30(int param_1)
0x0044ecf0	CFEPMultiplayerStart__Helper_0044ecf0	int CFEPMultiplayerStart__Helper_0044ecf0(void)
0x0044ed40	CFEPMultiplayerStart__Helper_0044ed40	int __cdecl CFEPMultiplayerStart__Helper_0044ed40(int param_1)
0x0044eea0	CFEPMultiplayerStart__Helper_0044eea0	int __cdecl CFEPMultiplayerStart__Helper_0044eea0(int param_1)
