address	name	signature
0x0058948d	CTexture__IncludeContextDtor	void * __thiscall CTexture__IncludeContextDtor(void * this, void * param_1, int param_2)
0x005894a9	CTexture__OpenIncludeSourceAndInitBuffer	int CTexture__OpenIncludeSourceAndInitBuffer(void)
0x00589650	CTexture__InitBufferFromMemorySpan	int CTexture__InitBufferFromMemorySpan(void)
0x00589689	CTexture__FreeIncludeFileChainRecursive	void __fastcall CTexture__FreeIncludeFileChainRecursive(int param_1)
0x005896a1	CTexture__IncludeFileChainDtor	void * __thiscall CTexture__IncludeFileChainDtor(void * this, void * param_1, int param_2)
0x005896bd	CTexture__DirectiveParserContextCtor	int __fastcall CTexture__DirectiveParserContextCtor(int param_1)
0x00589762	CTexture__DirectiveParserContextDtor	void __fastcall CTexture__DirectiveParserContextDtor(int param_1)
0x00589802	CTexture__PushPreprocessorStateNode	int __thiscall CTexture__PushPreprocessorStateNode(void * this, int param_1, int param_2)
0x00589846	CTexture__GetCurrentSourceLocation	int __thiscall CTexture__GetCurrentSourceLocation(void * this, int param_1, void * param_2, void * param_3)
0x0058986b	CTexture__GetActiveIncludeRange	int __thiscall CTexture__GetActiveIncludeRange(void * this, int param_1, void * param_2, void * param_3)
0x005898a4	CTexture__MapLexTokenToPreprocessorToken	int __fastcall CTexture__MapLexTokenToPreprocessorToken(int param_1)
0x00589bd6	CTexture__ReportDirectiveParseError	void __cdecl CTexture__ReportDirectiveParseError(int param_1, void * param_2)
0x00589c82	CTexture__SetCurrentSourceLocation	int __thiscall CTexture__SetCurrentSourceLocation(void * this, int param_1, int param_2, int param_3)
0x00589cab	CTexture__HandleDirective_Include	int __fastcall CTexture__HandleDirective_Include(int param_1)
0x00589e73	CTexture__HandleDirective_Error	int __fastcall CTexture__HandleDirective_Error(int param_1)
0x00589f49	CTexture__PushConditionalFrame	int __thiscall CTexture__PushConditionalFrame(void * this, int param_1, void * param_2)
0x00589fa1	CTexture__HandleDirective_Elif	int __thiscall CTexture__HandleDirective_Elif(void * this, int param_1, int param_2)
0x0058a014	CTexture__HandleDirective_Else	int __fastcall CTexture__HandleDirective_Else(int param_1)
0x0058a076	CTexture__HandleDirective_Endif	int __fastcall CTexture__HandleDirective_Endif(int param_1)
0x0058a0c6	CTexture__HandlePragma_PackMatrix	int __fastcall CTexture__HandlePragma_PackMatrix(int param_1)
0x0058a1e3	CTexture__HandlePragma_Warning	int __fastcall CTexture__HandlePragma_Warning(int param_1)
0x0058a578	CTexture__GetSymbolNameLength	int __stdcall CTexture__GetSymbolNameLength(void * param_1)
0x0058a58d	CTexture__InsertOrReplaceMacroSymbol	int __stdcall CTexture__InsertOrReplaceMacroSymbol(void * param_1)
0x0058a60a	CTexture__FindMacroSymbol	int __stdcall CTexture__FindMacroSymbol(void * param_1, void * param_2, void * param_3)
0x0058a67b	CTexture__EscapeQuotedStringInPlace	void __stdcall CTexture__EscapeQuotedStringInPlace(void * param_1, int param_2, int param_3)
0x0058a6e0	CTexture__NormalizeConditionalResultOrReport	int __thiscall CTexture__NormalizeConditionalResultOrReport(void * this, int param_1, int param_2)
