slot	entry_addr	ptr	ptr_name	ptr_signature
0	005d8a90	00452b60	CFrontEndPage__Process_NoOp	void __stdcall CFrontEndPage__Process_NoOp(void * this, int state)
1	005d8a94	004f3d30	<none>	<none>
2	005d8a98	00405e50	<none>	<none>
3	005d8a9c	004fdcb0	CUnit__Unk_004fdcb0	void __thiscall CUnit__Unk_004fdcb0(void * this, int param_1, int param_2)
4	005d8aa0	004fdc20	CUnit__Unk_004fdc20	void __fastcall CUnit__Unk_004fdc20(int param_1)
5	005d8aa4	00405e30	<none>	<none>
6	005d8aa8	00405e40	<none>	<none>
7	005d8aac	004f9220	<none>	<none>
8	005d8ab0	0040eeb0	CUnit__Unk_0040eeb0	int __fastcall CUnit__Unk_0040eeb0(int param_1)
9	005d8ab4	004f44a0	CThing__AddTrail	undefined CThing__AddTrail(void)
10	005d8ab8	004fce00	<none>	<none>
11	005d8abc	004f45e0	CExplosionInitThing__Helper_004f45e0	void __stdcall CExplosionInitThing__Helper_004f45e0(void * param_1)
12	005d8ac0	004fdd60	<none>	<none>
13	005d8ac4	004fcf00	CUnit__Unk_004fcf00	void __fastcall CUnit__Unk_004fcf00(int param_1)
14	005d8ac8	00405930	CControllerDefinition__VFunc_03_00405930	int __thiscall CControllerDefinition__VFunc_03_00405930(void * this)
15	005d8acc	004081c0	CMonitor__Process	void __fastcall CMonitor__Process(void * param_1)
16	005d8ad0	00401f70	<none>	<none>
17	005d8ad4	0040c750	<none>	<none>
18	005d8ad8	00408150	CUnit__ProcessStateSwapAndDeathChecks	void __fastcall CUnit__ProcessStateSwapAndDeathChecks(void * param_1)
19	005d8adc	0040c720	CGeneralVolume__ResetAndSetActiveReader	void __thiscall CGeneralVolume__ResetAndSetActiveReader(void * this, int param_1, void * param_2)
20	005d8ae0	00405db0	VFuncSlot_12_00405db0	void VFuncSlot_12_00405db0(void)
21	005d8ae4	00405dc0	<none>	<none>
22	005d8ae8	00405dd0	<none>	<none>
23	005d8aec	004fc080	CUnitAI__Helper_004fc080	int __fastcall CUnitAI__Helper_004fc080(void * param_1)
24	005d8af0	0040c990	<none>	<none>
25	005d8af4	00405de0	<none>	<none>
26	005d8af8	004fa4b0	CUnit__Unk_004fa4b0	int CUnit__Unk_004fa4b0(void)
27	005d8afc	00406040	CDXCompass__Helper_00406040	double __fastcall CDXCompass__Helper_00406040(int param_1)
28	005d8b00	0040e8e0	CUnit__Unk_0040e8e0	double __fastcall CUnit__Unk_0040e8e0(int param_1)
29	005d8b04	0040e910	CUnit__Unk_0040e910	double __fastcall CUnit__Unk_0040e910(void * param_1)
30	005d8b08	004071b0	<none>	<none>
31	005d8b0c	00405e10	<none>	<none>
32	005d8b10	00405e20	<none>	<none>
33	005d8b14	004fc000	CUnit__Unk_004fc000	int __fastcall CUnit__Unk_004fc000(int param_1)
34	005d8b18	00405f20	<none>	<none>
35	005d8b1c	004fbcb0	CUnit__Unk_004fbcb0	int __fastcall CUnit__Unk_004fbcb0(void * param_1)
36	005d8b20	004fc170	CUnitAI__Helper_004fc170	void __fastcall CUnitAI__Helper_004fc170(int param_1)
37	005d8b24	004fc4e0	CUnit__UpdateTransform	undefined CUnit__UpdateTransform(void)
38	005d8b28	004014a0	<none>	<none>
39	005d8b2c	004fd4d0	CCannon__Helper_004fd4d0	void __thiscall CCannon__Helper_004fd4d0(void * this, void * param_1, int param_2)
