address	name	owners	xref_count
0x0044d6f0	CUnitAI__Unk_0044d6f0	CFrontEnd	1
0x0044eab0	CUnitAI__Unk_0044eab0	CFEPMultiplayerStart	2
0x0044eb30	CUnitAI__Unk_0044eb30	CFEPMultiplayerStart	1
0x0044ecf0	CUnitAI__Unk_0044ecf0	CFEPMultiplayerStart	4
0x0044ed40	CUnitAI__Unk_0044ed40	CFEPMultiplayerStart	2
0x0044eea0	CUnitAI__Unk_0044eea0	CFEPMultiplayerStart	2
0x00452de0	CUnitAI__Unk_00452de0	CFEPGoodies	1
0x004530b0	CUnitAI__Unk_004530b0	CFEPMultiplayerStart	1
0x00465c10	CUnitAI__Unk_00465c10	CDXBitmapFont	1
0x00465dd0	CUnitAI__Unk_00465dd0	CFEPVirtualKeyboard	1
0x00469430	CUnitAI__Unk_00469430	CFEPDirectory	1
0x0046b950	CUnitAI__Unk_0046b950	CFEPMultiplayerStart	2
0x0046bab0	CUnitAI__Unk_0046bab0	CFEPMultiplayerStart	2
0x0046bc20	CUnitAI__Unk_0046bc20	CFEPMultiplayerStart	1
0x00472a90	CUnitAI__Unk_00472a90	CGame	1
0x00472f10	CUnitAI__Unk_00472f10	CDXEngine	1
0x00476fe0	CUnitAI__Unk_00476fe0	CVBufTexture	1
0x00477cb0	CUnitAI__Unk_00477cb0	CSquadNormal	1
0x004780f0	CUnitAI__Unk_004780f0	CWorld	1
0x00478510	CUnitAI__Unk_00478510	CMeshCollisionVolume	2
0x0047d6d0	CUnitAI__Unk_0047d6d0	CGroundVehicleGuide	1
0x0047fb50	CUnitAI__Unk_0047fb50	CExplosionInitThing	1
0x00480a30	CUnitAI__Unk_00480a30	CCollisionSeekingRound	1
0x00481400	CUnitAI__Unk_00481400	CDXEngine	1
0x00482050	CUnitAI__Unk_00482050	CDXEngine	1
0x004821b0	CUnitAI__Unk_004821b0	CDXCompass	1
0x004821e0	CUnitAI__Unk_004821e0	CDXCompass	1
0x00483530	CUnitAI__Unk_00483530	CExplosionInitThing	1
0x00484340	CUnitAI__Unk_00484340	CExplosionInitThing	1
0x00484c50	CUnitAI__Unk_00484c50	CExplosionInitThing	1
0x004858d0	CUnitAI__Unk_004858d0	CExplosionInitThing	1
0x00485d50	CUnitAI__Unk_00485d50	CExplosionInitThing	1
0x00486940	CUnitAI__Unk_00486940	CExplosionInitThing	1
0x00486e00	CUnitAI__Unk_00486e00	CExplosionInitThing	1
0x00488090	CUnitAI__Unk_00488090	CDXEngine	1
0x0048afb0	CUnitAI__Unk_0048afb0	CInfluenceMap	1
0x0048de00	CUnitAI__Unk_0048de00	CTokenArchive	1
0x0048de30	CUnitAI__Unk_0048de30	CDXEngine	1
0x0048de90	CUnitAI__Unk_0048de90	CDXLandscape	1
0x0048f180	CUnitAI__Unk_0048f180	CDXLandscape	1
