address	expected_name	actual_name	status
0x0055f39d	CStaticShadows__Helper_0055f39d	CStaticShadows__Helper_0055f39d	OK
0x00562ad6	CTexture__Helper_00562ad6	CTexture__Helper_00562ad6	OK
0x00563714	CFastVB__Helper_00563714	CFastVB__Helper_00563714	OK
0x00563765	CFastVB__Helper_00563765	CFastVB__Helper_00563765	OK
0x0056377c	CFastVB__Helper_0056377c	CFastVB__Helper_0056377c	OK
0x00565083	ControlsUI__Helper_00565083	ControlsUI__Helper_00565083	OK
0x0056813f	CTexture__Helper_0056813f	CTexture__Helper_0056813f	OK
0x00568189	CTexture__Helper_00568189	CTexture__Helper_00568189	OK
0x005681bc	CTexture__Helper_005681bc	CTexture__Helper_005681bc	OK
0x005681e5	CTexture__Helper_005681e5	CTexture__Helper_005681e5	OK
0x0056c257	CTexture__Helper_0056c257	CTexture__Helper_0056c257	OK
0x0056c2af	CTexture__Helper_0056c2af	CTexture__Helper_0056c2af	OK
0x0056c53a	CTexture__Helper_0056c53a	CTexture__Helper_0056c53a	OK
0x0056c64d	CTexture__Helper_0056c64d	CTexture__Helper_0056c64d	OK
0x0056d22d	CTexture__Helper_0056d22d	CTexture__Helper_0056d22d	OK
0x0056e0bf	CTexture__Helper_0056e0bf	CTexture__Helper_0056e0bf	OK
0x00570a90	CTexture__Helper_00570a90	CTexture__Helper_00570a90	OK
0x00571060	CFastVB__Helper_00571060	CFastVB__Helper_00571060	OK
0x00572490	CTexture__Helper_00572490	CTexture__Helper_00572490	OK
0x00572f20	CTexture__Helper_00572f20	CTexture__Helper_00572f20	OK
0x00574da5	CFastVB__Helper_00574da5	CFastVB__Helper_00574da5	OK
0x0057511b	Platform__Helper_0057511b	Platform__Helper_0057511b	OK
0x00575d2d	CFastVB__Helper_00575d2d	CFastVB__Helper_00575d2d	OK
0x00579d33	CTexture__Helper_00579d33	CTexture__Helper_00579d33	OK
0x0057d216	CFastVB__Helper_0057d216	CFastVB__Helper_0057d216	OK
0x0057d4ad	CFastVB__Helper_0057d4ad	CFastVB__Helper_0057d4ad	OK
0x0057d9f1	CFastVB__Helper_0057d9f1	CFastVB__Helper_0057d9f1	OK
0x0057db30	CFastVB__Helper_0057db30	CFastVB__Helper_0057db30	OK
0x0057dbcb	CFastVB__Helper_0057dbcb	CFastVB__Helper_0057dbcb	OK
0x0057dd17	CFastVB__Helper_0057dd17	CFastVB__Helper_0057dd17	OK
0x005893b7	CTexture__Helper_005893b7	CTexture__Helper_005893b7	OK
0x0058e3c3	CTexture__Helper_0058e3c3	CTexture__Helper_0058e3c3	OK
0x0058e413	CTexture__Helper_0058e413	CTexture__Helper_0058e413	OK
0x00590d25	CTexture__Helper_00590d25	CTexture__Helper_00590d25	OK
0x0059af40	CTexture__Helper_0059af40	CTexture__Helper_0059af40	OK
0x0059b150	CTexture__Helper_0059b150	CTexture__Helper_0059b150	OK
0x0059f260	CTexture__Helper_0059f260	CTexture__Helper_0059f260	OK
0x005a3200	CFastVB__Helper_005a3200	CFastVB__Helper_005a3200	OK
0x005a9ced	CFastVB__Helper_005a9ced	CFastVB__Helper_005a9ced	OK
0x005ab9c0	CTexture__Helper_005ab9c0	CTexture__Helper_005ab9c0	OK
0x005ac980	CTexture__Helper_005ac980	CTexture__Helper_005ac980	OK
0x005ae190	CTexture__Helper_005ae190	CTexture__Helper_005ae190	OK
0x005ae600	CTexture__Helper_005ae600	CTexture__Helper_005ae600	OK
0x005ae780	CTexture__Helper_005ae780	CTexture__Helper_005ae780	OK
0x005af670	CTexture__Helper_005af670	CTexture__Helper_005af670	OK
0x005b0ee0	CTexture__Helper_005b0ee0	CTexture__Helper_005b0ee0	OK
0x005b1e16	CTexture__Helper_005b1e16	CTexture__Helper_005b1e16	OK
0x005b272e	CTexture__Helper_005b272e	CTexture__Helper_005b272e	OK
0x005b2860	CTexture__Helper_005b2860	CTexture__Helper_005b2860	OK
0x005b3080	CTexture__Helper_005b3080	CTexture__Helper_005b3080	OK
0x005b4ae0	CTexture__Helper_005b4ae0	CTexture__Helper_005b4ae0	OK
